ReportTS	CompanyName	FaceID	ClientFaceID	PlayerVersion	Play	ContractNumber	LineNumber	CreativeID	NoOfSegments	DwellSeconds	Length	CampaignName	CreativeName	PlayCountToday	SOV	Frequency	Image	CampaignFromDate	CampaignToDate	ScheduleStartDate	ScheduleEndDate	AdvertiserName	AuditPlay	TotalSpots	AuditPlayCount	AuditPlayComment	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C418883	1	243734	8	8	64	Sheetz 404RX	MTO_5406_8.30.23 2_$6 Breakfast Mix n Match Billboard_0628  30x10 Digital.jpg	354	1	1		2022-10-03 0:00:00	2024-09-29 0:00:00	2023-08-30 0:00:00	2024-09-29 0:00:00	Harmelin Media-Sheetz																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C418888	1	244291	8	8	64	Superior Performance Auto Repair 404RX	SuperiorPerformance_0404LX_140x460_PIXELS_8_30_2023_01.jpg	177	1	1		2023-02-06 0:00:00	2024-02-04 0:00:00	2023-08-30 0:00:00	2024-02-04 0:00:00	Superior Performance Automotive Repair																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C418888	1	244292	8	8	64	Superior Performance Auto Repair 404RX	SuperiorPerformance_0404LX_140x460_PIXELS_8_30_2023_02.jpg	177	1	1		2023-02-06 0:00:00	2024-02-04 0:00:00	2023-08-30 0:00:00	2024-02-04 0:00:00	Superior Performance Automotive Repair																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C419370	2	209195	8	8	64	Capital Outdoor Self Promo 404RX	Capital_Available_0404LX_0404RX_DIGITAL_9Hx30W_140x460PIXELS_RGB_V4.jpg	177	1	1		2023-01-01 0:00:00	2025-12-31 0:00:00	2023-01-01 0:00:00	2025-12-31 0:00:00	Capital Outdoor																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C419370	2	209196	8	8	64	Capital Outdoor Self Promo 404RX	CapitalOutdoor_Self_Promo_0411RX_0412LX_FILLER_150x475Pixel_RGB_1.jpg	177	1	1		2023-01-01 0:00:00	2025-12-31 0:00:00	2023-01-01 0:00:00	2025-12-31 0:00:00	Capital Outdoor																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C419815	2	243402	8	8	64	Wake Tech CC 404RX PAID	Ignite Your Future_140x460 px.jpg	355	1	1		2023-07-01 0:00:00	2024-06-28 0:00:00	2023-08-01 0:00:00	2024-06-28 0:00:00	Wake Tech Community College																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C423048	1	245690	8	8	64	ECU 404RX PAID	ECU_ONLINE_0404LX_0404RX_DIGITAL_140x460_Pixels-1	355	1	1		2023-08-14 0:00:00	2023-12-31 0:00:00	2023-10-16 0:00:00	2023-12-31 23:59:00	Necessary Marketing-East Carolina University																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C426900	1	245692	8	8	64	NCOAA PEP Program - 404RX Bonus	NCOAA_0404_DIGITAL_140x460_PIXEL_ENGLISH_10_11_2023	177	1	1		2023-10-16 0:00:00	2024-01-07 0:00:00	2023-10-16 0:00:00	2024-01-07 23:59:00	NCOOA PEP Program - 404RX Bonus																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C426900	1	245693	8	8	64	NCOAA PEP Program - 404RX Bonus	NCOAA_0404_DIGITAL_140x460_PIXEL_SPANISH_10_11_2023	178	1	1		2023-10-16 0:00:00	2024-01-07 0:00:00	2023-10-16 0:00:00	2024-01-07 23:59:00	NCOOA PEP Program - 404RX Bonus																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-01	0404RX-NC24	2.0.2.0	1	C426976	1	245725	8	8	64	VAPR Campaign - 404RX	Rifbar_Vape_OCT2023_0404RX_140x460_PIXEL_10_10_2023	354	1	1		2023-10-16 0:00:00	2023-11-12 0:00:00	2023-10-16 0:00:00	2023-11-12 23:59:00	VAPR Campaign - 404RX																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-02	0404LX-NC24	2.0.2.0	1	C418828	1	201355	8	8	64	Auto Direct 404LX Annual	SALES_BANNER.jpg	475	1	1		2023-05-08 0:00:00	2024-05-05 0:00:00	2023-05-08 0:00:00	2024-05-05 0:00:00	Auto Direct																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-02	0404LX-NC24	2.0.2.0	0	C418897	1	203110	8	8	64	Red Truck Media-Ryan Homes 404LX Spot 1	RyansHomes-0404LX_2_15_2023	NULL	1	1		2023-02-13 0:00:00	2024-02-11 0:00:00	2023-02-13 0:00:00	2024-02-11 0:00:00	Red Truck Media - Ryan Homes																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-02	0404LX-NC24	2.0.2.0	1	C418897	1	203111	8	8	64	Red Truck Media-Ryan Homes 404LX Spot 1	RyanHomes_0404LX_4_6_2023	238	1	1		2023-02-13 0:00:00	2024-02-11 0:00:00	2023-02-13 0:00:00	2024-02-11 0:00:00	Red Truck Media - Ryan Homes																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-02	0404LX-NC24	2.0.2.0	1	C418897	1	203112	8	8	64	Red Truck Media-Ryan Homes 404LX Spot 1	1.26.23_TH_Ryan_Homes___Pearces_Landing_20043371	237	1	1		2023-02-13 0:00:00	2024-02-11 0:00:00	2023-02-13 0:00:00	2024-02-11 0:00:00	Red Truck Media - Ryan Homes																								
2023-10-16 7:49:57	Capital Outdoor	NC480428-02	0404LX-NC24	2.0.2.0	1	C418900	1	203146	8	8	64	Carolina Camper Works 404LX	CarolinaCamper_0404LX_DIGITAL_9Hx30W_140x460_Pixels_RGB_4 (1).jpg	476	1	1		2023-03-13 0:00:00	2024-03-10 0:00:00	2023-03-13 0:00:00	2024-03-10 0:00:00	Carolina Camper Works																								
