SellerID,CompanyName,FaceID,ClientFaceID
4122,D.O.T. Outdoor Advertising,IL714313-01,PAD-IL23-S-BOT
4122,D.O.T. Outdoor Advertising,IL714313-02,PAD-IL23-S-TOP
4122,D.O.T. Outdoor Advertising,IL714313-03,PAD-IL23-N-BOT
4122,D.O.T. Outdoor Advertising,IL714313-04,PAD-IL23-N-TOP
4122,D.O.T. Outdoor Advertising,IL714314-01,PAD-IL22-W-BOT
4122,D.O.T. Outdoor Advertising,IL714314-02,PAD-IL22-W-TOP
4122,D.O.T. Outdoor Advertising,IL714314-03,PAD-IL22-E-BOT
4122,D.O.T. Outdoor Advertising,IL714314-04,PAD-IL22-E-TOP
4122,D.O.T. Outdoor Advertising,IL714319-01,PAD-IL13-W
4122,D.O.T. Outdoor Advertising,IL714319-02,PAD-IL13-E
4126,Forester Outdoor,TX692980-01,DAL-2B
4126,Forester Outdoor,TX692980-02,DAL-2A
4126,Forester Outdoor,TX692981-01,DAL-3A
4126,Forester Outdoor,TX692981-02,DAL-3B
4126,Forester Outdoor,TX692982-01,DAL-1A
4126,Forester Outdoor,TX692982-02,DAL-1B
4126,Forester Outdoor,TX692983-01,DAL-4B
4126,Forester Outdoor,TX692983-02,DAL-4A
4136,Keenan Media,GA708945-01,ATL-KM012
4136,Keenan Media,GA708945-02,ATL-KM013
4136,Keenan Media,GA709206-01,ATL-KM016
4136,Keenan Media,GA709206-02,ATL-KM017
4136,Keenan Media,GA709207-01,ATL-KM018
4136,Keenan Media,GA709207-02,ATL-KM019
4136,Keenan Media,GA709208-01,ATL-KM020
4136,Keenan Media,GA709208-02,ATL-KM021
4152,Sha Outdoors,AL719131-01,BIR-107
4152,Sha Outdoors,AL719132-01,BIR-106A
4152,Sha Outdoors,AL719133-01,BIR-105D
4152,Sha Outdoors,AL719133-02,BIR-105C
4152,Sha Outdoors,AL719133-03,BIR-105B
4152,Sha Outdoors,AL719133-04,BIR-105A
4152,Sha Outdoors,AL719134-01,BIR-103B
4152,Sha Outdoors,AL719134-02,BIR-103A
4152,Sha Outdoors,AL719135-01,BIR-102B
4152,Sha Outdoors,AL719135-02,BIR-102A
